,inputs,energy
94,"[0.3678794503211975, 0.2000179886817932, 0.12304157763719559]",-0.044536
95,"[0.3678794503211975, 0.16110758483409882, 0.14812776446342468]",-0.046563
96,"[0.3678794503211975, 0.15440842509269714, 0.15440842509269714]",-0.04657
97,"[0.33287107944488525, 0.21246406435966492, 0.1147916167974472]",-0.072086
98,"[0.3011941909790039, 0.29220956563949585, 0.09212426841259003]",-0.071453
99,"[0.3011941909790039, 0.26845791935920715, 0.09643031656742096]",-0.080707
100,"[0.3011941909790039, 0.2370060533285141, 0.10389596968889236]",-0.088352
101,"[0.3011941909790039, 0.20444607734680176, 0.11494161188602448]",-0.091485
102,"[0.3011941909790039, 0.17484912276268005, 0.13011011481285095]",-0.09134
103,"[0.3011941909790039, 0.15769538283348083, 0.14279520511627197]",-0.090883
104,"[0.3011941909790039, 0.14996302127838135, 0.14996302127838135]",-0.090787
105,"[0.3330375850200653, 0.2463504821062088, 0.08204396814107895]",-0.076753
106,"[0.32048943638801575, 0.24635063111782074, 0.08347079157829285]",-0.084628
107,"[0.288318932056427, 0.24635057151317596, 0.08786054700613022]",-0.099871
108,"[0.24770024418830872, 0.24635060131549835, 0.09554423391819]",-0.109899
109,"[0.2463504821062088, 0.22130273282527924, 0.1025480180978775]",-0.111578
110,"[0.2463504821062088, 0.20772087574005127, 0.1070789322257042]",-0.111104
111,"[0.2463504821062088, 0.1730065941810608, 0.12323598563671112]",-0.107043
112,"[0.2463504821062088, 0.14493034780025482, 0.14493034780025482]",-0.104373
113,"[0.32757049798965454, 0.23480497300624847, 0.0815257877111435]",-0.084967
114,"[0.29309865832328796, 0.2348049432039261, 0.08592191338539124]",-0.102215
115,"[0.2501071095466614, 0.23480500280857086, 0.09363321959972382]",-0.113186
116,"[0.23480497300624847, 0.22245831787586212, 0.10067978501319885]",-0.114524
117,"[0.23480497300624847, 0.20831704139709473, 0.10524710267782211]",-0.113717
118,"[0.23480497300624847, 0.17242446541786194, 0.12158777564764023]",-0.108395
119,"[0.23480497300624847, 0.15246117115020752, 0.13559897243976593]",-0.105377
120,"[0.2255895733833313, 0.20189663767814636, 0.09495916217565536]",-0.121299
121,"[0.36663883924484253, 0.18268358707427979, 0.07206021994352341]",-0.073599
122,"[0.22722241282463074, 0.18268346786499023, 0.09130289405584335]",-0.12464
123,"[0.22848744690418243, 0.16529884934425354, 0.08775278925895691]",-0.127615
124,"[0.21433179080486298, 0.053189925849437714, 0.04978708177804947]",-0.154585
125,"[0.30866459012031555, 0.2348049432039261, 0.07247598469257355]",-0.101238
126,"[0.2967853844165802, 0.23480477929115295, 0.07378742843866348]",-0.106894
127,"[0.266303151845932, 0.23480506241321564, 0.07782726734876633]",-0.117194
128,"[0.23480497300624847, 0.20282112061977386, 0.09139419347047806]",-0.122376
129,"[0.23480497300624847, 0.13088379800319672, 0.13088379800319672]",-0.113299
130,"[0.3678794503211975, 0.17215734720230103, 0.09780286252498627]",-0.06366
131,"[0.3678794503211975, 0.1648406833410263, 0.10113610327243805]",-0.064184
132,"[0.33287107944488525, 0.17528212070465088, 0.09435881674289703]",-0.091394
133,"[0.33287107944488525, 0.125651016831398, 0.125651016831398]",-0.091803
134,"[0.3011941909790039, 0.22080472111701965, 0.07907073944807053]",-0.105785
135,"[0.3011941909790039, 0.17823843657970428, 0.09098990261554718]",-0.109128
136,"[0.3011941909790039, 0.16903674602508545, 0.09461252391338348]",-0.109178
137,"[0.27253180742263794, 0.18100924789905548, 0.0876987874507904]",-0.120189
138,"[0.2463504821062088, 0.20513127744197845, 0.0785503163933754]",-0.127682
139,"[0.2463504821062088, 0.18360251188278198, 0.0844559520483017]",-0.126781
140,"[0.2463504821062088, 0.17243161797523499, 0.08827639371156693]",-0.125754
141,"[0.2463504821062088, 0.12013642489910126, 0.12013642489910126]",-0.120349
142,"[0.2792912721633911, 0.23480497300624847, 0.06557897478342056]",-0.118959
143,"[0.2688402533531189, 0.2348048985004425, 0.06678231805562973]",-0.122308
144,"[0.23480497300624847, 0.20733119547367096, 0.0769960880279541]",-0.130189
145,"[0.23480497300624847, 0.18475784361362457, 0.08294391632080078]",-0.128827
146,"[0.23480497300624847, 0.17311057448387146, 0.08679932355880737]",-0.127454
147,"[0.23480497300624847, 0.11917273700237274, 0.11917273700237274]",-0.120686
148,"[0.2018965184688568, 0.18804553151130676, 0.07831145077943802]",-0.132572
149,"[0.3166367709636688, 0.18268351256847382, 0.057844310998916626]",-0.117052
150,"[0.2635737955570221, 0.18268360197544098, 0.06272895634174347]",-0.135524
151,"[0.18991513550281525, 0.18268361687660217, 0.07534847408533096]",-0.133775
152,"[0.18268351256847382, 0.1757778823375702, 0.07931997627019882]",-0.130238
153,"[0.18268351256847382, 0.11382065713405609, 0.11382065713405609]",-0.112611
154,"[0.1915251910686493, 0.16529890894889832, 0.07246967405080795]",-0.134625
155,"[0.19392108917236328, 0.13533532619476318, 0.06696470081806183]",-0.136512
156,"[0.1353352814912796, 0.10687792301177979, 0.10687792301177979]",-0.092227
157,"[0.08208499848842621, 0.08208499848842621, 0.049787066876888275]",-0.083968
158,"[0.3678794503211975, 0.14164404571056366, 0.08030384033918381]",-0.078463
159,"[0.3678794503211975, 0.13567422330379486, 0.08307835459709167]",-0.078731
160,"[0.3678794503211975, 0.10475794970989227, 0.10475794970989227]",-0.079196
161,"[0.33287107944488525, 0.17456024885177612, 0.0678534135222435]",-0.103992
162,"[0.33287107944488525, 0.15686380863189697, 0.07295175641775131]",-0.105129
163,"[0.33287107944488525, 0.10354923456907272, 0.10354923456907272]",-0.1055
164,"[0.3011941909790039, 0.161102294921875, 0.07006455212831497]",-0.122393
165,"[0.3011941909790039, 0.13948869705200195, 0.07781437039375305]",-0.122218
166,"[0.3011941909790039, 0.10224831849336624, 0.10224831849336624]",-0.121255
167,"[0.27253180742263794, 0.18842938542366028, 0.06191667541861534]",-0.132771
168,"[0.27253180742263794, 0.14951837062835693, 0.07212202996015549]",-0.132288
169,"[0.27253180742263794, 0.1411859691143036, 0.0752464309334755]",-0.131785
170,"[0.27253180742263794, 0.10086079686880112, 0.10086079686880112]",-0.129618
171,"[0.2463504821062088, 0.19565719366073608, 0.059106115251779556]",-0.139685
172,"[0.2463504821062088, 0.16945333778858185, 0.06454036384820938]",-0.139033
173,"[0.2463504821062088, 0.15191105008125305, 0.06949519366025925]",-0.13756
174,"[0.2463504821062088, 0.0993773564696312, 0.0993773564696312]",-0.132704
175,"[0.23480497300624847, 0.2286643385887146, 0.05369153246283531]",-0.140098
176,"[0.23480497300624847, 0.22049933671951294, 0.054701194167137146]",-0.14102
177,"[0.23480497300624847, 0.17140230536460876, 0.063275545835495]",-0.140857
178,"[0.23480497300624847, 0.15299586951732635, 0.06827009469270706]",-0.138897
179,"[0.23480497300624847, 0.11875540018081665, 0.08307895064353943]",-0.134227
180,"[0.23480497300624847, 0.09864521771669388, 0.09864521771669388]",-0.132774
181,"[0.2018965184688568, 0.17738261818885803, 0.05943068116903305]",-0.143782
182,"[0.2018965184688568, 0.1561707705259323, 0.06451531499624252]",-0.140003
183,"[0.2018965184688568, 0.14533261954784393, 0.06783175468444824]",-0.137676
184,"[0.2018965184688568, 0.09623713791370392, 0.09623713791370392]",-0.128839
185,"[0.18268351256847382, 0.14637432992458344, 0.06546357274055481]",-0.13606
186,"[0.16529889404773712, 0.1597672998905182, 0.05977635458111763]",-0.138163
187,"[0.16529889404773712, 0.14723512530326843, 0.06314979493618011]",-0.133932
188,"[0.1353352814912796, 0.08922363817691803, 0.08922363817691803]",-0.102161
189,"[0.16350102424621582, 0.04978705570101738, 0.03682447224855423]",-0.141462
190,"[0.3011941909790039, 0.13493268191814423, 0.048099584877491]",-0.136427
191,"[0.3011941909790039, 0.1042950451374054, 0.05797132849693298]",-0.136204
192,"[0.3011941909790039, 0.07645966112613678, 0.07645966112613678]",-0.135757
193,"[0.27253180742263794, 0.15723717212677002, 0.04285212233662605]",-0.146297
194,"[0.27253180742263794, 0.14027385413646698, 0.0459541454911232]",-0.146173
195,"[0.27253180742263794, 0.12350082397460938, 0.05003184825181961]",-0.145634
196,"[0.27253180742263794, 0.11191650480031967, 0.05372655391693115]",-0.145089
197,"[0.27253180742263794, 0.07553809136152267, 0.07553809136152267]",-0.143671
198,"[0.2463504821062088, 0.1653815656900406, 0.040741827338933945]",-0.15227
199,"[0.2463504821062088, 0.1458067148923874, 0.04387841373682022]",-0.151448
200,"[0.2463504821062088, 0.12682339549064636, 0.04802624508738518]",-0.150072
201,"[0.2463504821062088, 0.11392469704151154, 0.05180780962109566]",-0.148935
202,"[0.2463504821062088, 0.10713040828704834, 0.054253071546554565]",-0.148316
