,Ahalf,Y,Z,E
515,0.905,0.0,2.865,-0.157249
516,0.97,0.0,3.01,-0.152451
517,0.61,0.0,2.35,-0.131824
518,0.68,0.0,2.49,-0.149944
519,0.75,0.0,2.63,-0.158135
520,0.82,0.0,2.77,-0.159844
521,1.03,0.0,3.19,-0.14509
522,0.94,0.0,2.96,-0.154633
523,0.595,0.0,2.465,-0.133366
524,0.665,0.0,2.585,-0.151186
525,0.735,0.0,2.705,-0.158953
526,0.805,0.0,2.825,-0.160337
527,0.875,0.0,2.945,-0.157697
528,1.015,0.0,3.185,-0.146015
529,0.58,0.0,2.57,-0.133153
530,0.65,0.0,2.68,-0.151887
531,0.72,0.0,2.79,-0.159851
532,0.79,0.0,2.9,-0.161078
533,0.86,0.0,3.01,-0.158134
534,1.0,0.0,3.23,-0.145843
535,0.555,0.0,2.665,-0.127718
536,0.63,0.0,2.77,-0.151135
537,0.705,0.0,2.875,-0.160648
538,0.78,0.0,2.98,-0.161865
539,0.855,0.0,3.085,-0.158202
540,1.005,0.0,3.295,-0.144066
541,0.545,0.0,2.785,-0.127366
542,0.62,0.0,2.88,-0.151943
543,0.695,0.0,2.975,-0.161762
544,0.77,0.0,3.07,-0.162833
545,0.845,0.0,3.165,-0.158804
546,0.995,0.0,3.355,-0.143768
547,1.145,0.0,3.545,-0.126965
548,0.535,0.0,2.945,-0.127108
549,0.61,0.0,3.02,-0.152896
550,0.685,0.0,3.095,-0.16303
551,0.76,0.0,3.17,-0.163973
552,0.835,0.0,3.245,-0.159637
553,0.985,0.0,3.395,-0.144096
554,1.135,0.0,3.545,-0.127605
555,0.53,0.0,3.08,-0.127682
556,0.605,0.0,3.155,-0.15432
557,0.68,0.0,3.23,-0.164606
558,0.755,0.0,3.305,-0.165422
559,0.83,0.0,3.38,-0.1604
560,0.98,0.0,3.53,-0.14306
561,1.13,0.0,3.68,-0.124058
562,0.52,0.0,3.21,-0.124989
563,0.595,0.0,3.285,-0.154034
564,0.67,0.0,3.36,-0.165546
565,0.745,0.0,3.435,-0.166695
566,0.82,0.0,3.51,-0.161762
567,0.97,0.0,3.66,-0.143346
568,1.12,0.0,3.81,-0.122288
569,0.515,0.0,3.355,-0.124507
570,0.59,0.0,3.43,-0.154727
571,0.665,0.0,3.505,-0.166746
572,0.74,0.0,3.58,-0.167989
573,0.815,0.0,3.655,-0.16287
574,0.965,0.0,3.805,-0.143484
575,1.115,0.0,3.955,-0.120785
576,1.265,0.0,4.105,-0.100424
577,0.51,0.0,3.49,-0.123379
578,0.585,0.0,3.565,-0.15494
579,0.66,0.0,3.64,-0.16762
580,0.735,0.0,3.715,-0.169111
581,0.81,0.0,3.79,-0.163974
582,0.96,0.0,3.94,-0.14402
583,1.11,0.0,4.09,-0.120201
584,1.26,0.0,4.24,-0.098171
585,0.505,0.0,3.695,-0.122458
586,0.58,0.0,3.77,-0.155399
587,0.655,0.0,3.845,-0.168758
588,0.73,0.0,3.92,-0.170506
589,0.805,0.0,3.995,-0.165349
590,0.955,0.0,4.145,-0.14482
591,1.105,0.0,4.295,-0.119875
592,1.255,0.0,4.445,-0.096129
593,0.5,0.0,3.91,-0.120918
594,0.575,0.0,3.985,-0.155386
595,0.65,0.0,4.06,-0.169552
596,0.725,0.0,4.135,-0.17168
597,0.8,0.0,4.21,-0.16664
598,0.95,0.0,4.36,-0.145856
599,1.1,0.0,4.51,-0.120218
600,1.25,0.0,4.66,-0.095371
601,0.495,0.0,4.135,-0.118819
602,0.57,0.0,4.21,-0.154939
603,0.645,0.0,4.285,-0.170014
604,0.72,0.0,4.36,-0.172623
605,0.795,0.0,4.435,-0.167796
606,0.945,0.0,4.585,-0.146978
607,1.095,0.0,4.735,-0.120942
608,1.245,0.0,4.885,-0.095418
609,0.49,0.0,4.36,-0.116196
610,0.565,0.0,4.435,-0.154078
611,0.64,0.0,4.51,-0.17015
612,0.715,0.0,4.585,-0.17334
613,0.79,0.0,4.66,-0.168774
614,0.94,0.0,4.81,-0.148081
615,1.09,0.0,4.96,-0.121845
616,1.24,0.0,5.11,-0.095924
617,0.485,0.0,4.635,-0.113239
618,0.56,0.0,4.71,-0.152975
619,0.635,0.0,4.785,-0.170105
620,0.71,0.0,4.86,-0.173872
621,0.785,0.0,4.935,-0.16966
