  Nabs ijk   A/2       Y3       Z3           S f(N) sumC*C    Eex   dEl34 dE(T)  DTS  |Ddc| DbasL  Efinal
 85335 000     0.600000 1.000000 1.732051                              d .22 .982862 -.103699   -77   499    19   839  1918 -.105785
 85336 000     0.600000 1.414214 1.414214                              d .22 .982472 -.106308  -216   562    54   861  2096 -.108543
 85337 000     0.600000 1.632993 1.154701                              d .22 .982339 -.106769   -90   531    22   864  2188 -.109128
 85338 000     0.600000 1.732051 1.000000                              P .01 .984678 -.106962   -44   438    11   692  2220 -.109178
 85339 000     0.600000 2.000000 0.000000                              P .01 .984269 -.105862   -81   232    20   713  2174 -.108023
 85340 000     0.650000 1.632993 1.154701                              P .01 .984800 -.118049   -86   442    21   667  2155 -.120189
 85341 000     0.649750 0.000000 2.050750                              P .01 .985940 -.115663    -8   269     2   605  1682 -.117349
 85342 000     0.700500 1.000000 1.732051                              d .22 .981824 -.123408     2   370    -1   894  1840 -.125449
 85343 000     0.700500 1.414214 1.414214                              P .01 .984989 -.125675   -50   436    12   646  2013 -.127682
 85344 000     0.700500 1.632993 1.154701                              P .01 .984825 -.124671   -72   419    18   647  2122 -.126781
 85345 000     0.700500 1.732051 1.000000                              P .01 .984722 -.123597   -63   415    16   649  2166 -.125754
 85346 000     0.700500 2.000000 0.000000                              P .01 .984127 -.118178   -71   231    18   674  2182 -.120349
 85347 000     0.637750 0.000000 2.086750                              P .01 .985912 -.117274   -26   288     7   605  1686 -.118959
 85348 000     0.656819 0.570977 1.988580                              d .22 .982509 -.120393   -33   472     8   851  1733 -.122308
 85349 000     0.709781 1.020737 1.738226                              d .22 .981707 -.126035   -70   367    18   898  1838 -.128057
 85350 000     0.724500 1.414214 1.414214                              P .01 .984999 -.128185     0   425     0   639  1997 -.130189
 85351 000     0.724500 1.632993 1.154701                              P .01 .984845 -.126729   -63   423    16   638  2107 -.128827
 85352 000     0.724500 1.732051 1.000000                              P .01 .984745 -.125301   -25   398     6   639  2153 -.127454
 85353 000     0.724500 1.931852 0.517638                              P .01 .984378 -.120667   -72   368    18   652  2215 -.122871
 85354 000     0.724500 2.000000 0.000000                              P .01 .987396 -.118517   -75   252    19   453  2183 -.120686
 85355 000     0.800000 1.632993 1.154701                              P .01 .988023 -.130506   -36   418     9   421  2071 -.132572
 85356 000     0.575000 0.000000 2.275000                              P .01 .985783 -.115293   -59   275    15   612  1768 -.117052
 85357 000     0.666711 1.274915 1.791251                              d .22 .981837 -.133441   -98   535    25   870  1913 -.135524
 85358 000     0.761304 1.578976 1.391252                              P .01 .984918 -.135877   -43   423    11   618  2018 -.137890
 85359 000     0.830589 1.671157 1.142410                              P .01 .988159 -.131715   -41   395    10   405  2066 -.133775
 85360 000     0.850000 1.732051 1.000000                              P .01 .988254 -.128147   -38   386     9   394  2097 -.130238
 85361 000     0.850000 2.000000 0.000000                              P .01 .988753 -.110432   -44   226    11   346  2187 -.112611
