theta r1 r2 energy dipole_x dipole_y
80.00000000  0.80000000 0.90000000 -76.13129673 0.83910226 -0.01395370
100.00000000 0.80000000 0.90000000 -76.15505550 0.74581010 -0.03037414
104.52000000 0.80000000 0.90000000 -76.15678728 0.72195226 -0.03444895
30.000000000 0.80000000 2.00000000 -75.95604079  0.68027791  0.22187608
20.000000000 0.80000000 2.00000000 -75.94472793  0.65042882 0.19165585
10.000000000 0.80000000 2.00000000 -75.93527687  0.61343400 0.12246675
 0.000000000 0.80000000 2.00000000 -75.93136594  0.59306105 0.00000000
30.000000000 0.70000000 2.00000000 -75.86418471 0.64554516 0.21392322
20.000000000 0.70000000 2.00000000 -75.85445851  0.60721296  0.18060028
10.000000000 0.70000000 2.00000000 -75.84681472 0.56848831 0.10925681
 0.000000000 0.70000000 2.00000000 -75.84382217 0.55062550 0.00000000
110.00000000 0.80000000 0.90000000 -76.15735876 0.69112678 -0.03955530
120.00000000 0.80000000 0.90000000 -76.15465322 0.62840250 -0.04932027
140.00000000 0.80000000 0.90000000 -76.13932691 0.47016758 -0.07003473
160.00000000 0.80000000 0.90000000 -76.12124228 0.25770636 -0.08885268
180.00000000 0.80000000 0.90000000 -76.11321509 0.00000000    -0.09709667
160.00000000 0.80000000 0.80000000 -76.09341785 0.25127757     0.00000000
180.00000000 0.80000000 0.80000000 -76.08597264 0.00000000     0.00000000
170.00000000 0.80000000 0.80000000 -76.08793354 0.12889813     0.00000000
140.00000000 0.80000000 0.80000000 -76.11014472 0.45983172     0.00000000
120.00000000 0.80000000 0.80000000 -76.12369420 0.61522279     0.00000000
100.00000000 0.80000000 0.80000000 -76.12162339 0.72991509 0.00000000
80.00000000  0.80000000 0.80000000 -76.09407718 0.82132829     0.00000000
60.00000000  0.80000000 0.80000000 -76.03027860 0.90201887     0.00000000
40.00000000  1.00000000 1.10000000 -76.05599415 0.99741641 0.00743231
50.00000000  1.00000000 1.10000000 -76.10332535 0.99100269 0.00843831
60.00000000  1.00000000 1.10000000 -76.13428125 0.96606647 0.00592913
80.00000000  1.00000000 1.10000000 -76.17134868 0.89075857 -0.00604316
100.00000000 1.00000000 1.10000000 -76.18346575 0.79120489 -0.02264077
120.00000000 1.00000000 1.10000000 -76.17566969 0.66258850 -0.04286966
160.00000000 1.00000000 1.10000000 -76.13081059 0.27441681 -0.09804780
180.00000000 1.00000000 1.10000000 -76.11975313 0.00000000    -0.11485296
170.00000000 1.00000000 1.10000000 -76.12271631 0.14208434 -0.11007693
180.00000000 0.80000000 1.10000000 -76.09137086 0.00000000    -0.32061430
160.00000000 0.80000000 1.10000000 -76.10095705 0.27387205 -0.28466055
140.00000000 0.80000000 1.10000000 -76.12215984 0.49293604 -0.21223311
120.00000000 0.80000000 1.10000000 -76.14092614 0.65470482 -0.14222598
100.00000000 0.80000000 1.10000000 -76.14596907 0.77533060 -0.08270075
80.00000000  0.80000000 1.10000000 -76.12962735 0.86914297 -0.03221463
60.00000000  0.80000000 1.10000000 -76.08546951 0.94715035 0.00738387
40.00000000  0.80000000 1.10000000 -75.99754989 1.01062896 0.02463916
60.00000000  1.20000000 2.20000000 -75.98610727 0.69917705 0.28596043
80.00000000  1.20000000 2.20000000 -75.99115989 0.63045707 0.32344736
120.00000000 1.20000000 2.20000000 -75.98581912 0.37196932 0.45232919
40.00000000  1.20000000 1.20000000 -76.05171449 0.99372126     0.00000000
100.00000000 1.20000000 1.20000000 -76.13416394 0.79884583  0.00000000
140.00000000 1.20000000 1.20000000 -76.09926265 0.48304026     0.00000000
160.00000000 1.20000000 1.20000000 -76.07082933 0.26489123 0.00000000
180.00000000 1.20000000 1.20000000 -76.05575450 0.00000000     0.00000000
60.00000000  1.20000000 1.20000000 -76.10212495 0.97734146     0.00000000
